MM #,mux,muy,sigmax,sigmay,weight,distribution,alpha_azi,alpha_rad,theta_degrees
1,-6.553706222592442e-05,1.165068502201254e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,80.9047006613576
2,-6.0801854206276225e-05,2.7092056248383346e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,66.96823355378586
3,-5.248704485434835e-05,4.093843071179525e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,53.03176644621414
4,-4.108215382414405e-05,5.237462767272148e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,39.09529933864241
5,-8.190009227867721e-05,1.4047808707758316e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,81.25227296286859
6,-7.59703404226225e-05,3.366709700607505e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,67.08409098762286
7,-6.541876984140627e-05,5.1238175193723745e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,52.91590901237714
8,-5.088730797961861e-05,6.569206901394611e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,38.74772703713143
9,-9.825818402274223e-05,1.646028724894575e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,81.47539364108697
10,-9.113616365335278e-05,4.0246881348921776e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,67.158464547029
11,-7.835325851867888e-05,6.15335572128734e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,52.841535452971016
12,-6.0703473435602995e-05,7.899810185452513e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,38.524606358913026
13,-0.00011505230845357598,1.5990811502859255e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,83.07283605550454
14,-0.00010952998268263232,3.86771589773478e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,71.53641802775226
15,-9.958216051035938e-05,5.9800777930607095e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.0
16,-8.561077801075463e-05,7.850818060183321e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,48.46358197224773
17,-6.818034091511851e-05,9.40435050692762e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,36.92716394449546
18,-0.0001314639466085214,1.7986954603165992e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,83.19491191309002
19,-0.0001251640048356768,4.404851515407992e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,71.597455956545
20,-0.00011375341069600446,6.831150231703784e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.0
21,-9.769807753274865e-05,8.978521838359339e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,48.40254404345498
22,-7.765357102981932e-05,0.00010759285617596241,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,36.805088086909976
23,-0.0001481914234103263,1.7479595587135223e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,84.25892769803957
24,-0.00014312504354907772,4.220729964523901e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,74.55535661882374
25,-0.00013396327387950484,6.572728113769176e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,64.8517855396079
26,-0.00012096826990703535,8.736653770161119e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,55.148214460392076
27,-0.00010451187156623485,0.0001065058821661566,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,45.44464338117625
28,-8.506496336742686e-05,0.0001225976600166851,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,35.74107230196042
29,-0.0001648538422021362,1.719559512834888e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.03146653651956
30,-0.00016061357492529448,4.09360150764791e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,76.68764435767972
31,-0.00015297314719922597,6.380982695940225e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,68.34382217883986
32,-0.00014209430550259178,8.533279629990469e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.00000000000001
33,-0.00012820735295446207,0.0001050492857140633,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,51.65617782116015
34,-0.00011160627383877048,0.00012254190067258745,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,43.3123556423203
35,-9.264251000997995e-05,0.00013744032566781732,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.96853346348045
36,-0.00018131459992733176,1.8707572900596092e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.09589760214199
37,-0.00017666387619837378,4.4886883130878665e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,76.73059840142798
38,-0.00016825396626680937,7.011105666103512e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,68.36529920071399
39,-0.00015626382249154863,9.384335464469118e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,60.0
40,-0.00014094858012727495,0.00011557878348012087,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,51.634700799286
41,-0.0001226341283655099,0.00013485484044212557,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,43.26940159857202
42,-0.00010171017582044581,0.0001512613551612358,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,34.90410239785801
43,-0.00019777435970936915,2.0221154884581555e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,85.14921397944846
44,-0.00019271317305091722,4.883876939445146e-05,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,76.76614265296564
