MM #,mux_in,muy_in,mux_fin,muy_fin,mux_changed,muy_changed,mux_zeroed,muy_zeroed
1,1.1791959102026089e-05,-1.608136347253808e-05,0.0,0.0,True,True,True,True
2,2.824473981198673e-08,-9.136935840748952e-06,0.0,-0.0,True,True,True,True
3,9.608239680335188e-06,3.796150514507755e-06,-0.0,0.0,True,True,True,True
4,-2.436270269952741e-05,-1.297340100412779e-05,0.0,0.0,True,True,True,True
5,1.1639008723634675e-05,1.7397804404304725e-05,-0.0,0.0,True,True,True,True
6,-5.289063275961386e-06,-9.395798689134686e-06,0.0,0.0,True,True,True,True
7,-3.132597014650409e-06,1.034124354477145e-05,0.0,0.0,True,True,True,True
8,2.2321698175028504e-05,1.700049385697404e-05,0.0,-0.0,True,True,True,True
9,1.6007852428284326e-05,-2.7590150004416764e-05,-0.0,0.0,True,True,True,True
10,1.972576868040172e-06,-2.000930997790123e-05,0.0,0.0,True,True,True,True
11,-2.7821734602045687e-06,3.358185061467105e-05,0.0,0.0,True,True,True,True
12,-4.099405224745207e-05,4.321441153983994e-06,0.0,0.0,True,True,True,True
13,4.22821709152586e-05,-1.7842200330757536e-05,0.0,-0.0,True,True,True,True
14,3.603682300361494e-05,1.0711008869349168e-05,-0.0,0.0,True,True,True,True
15,1.5066281347410834e-06,1.3712486413237664e-05,0.0,0.0,True,True,True,True
16,-4.664898470842594e-06,-2.8806332978928008e-05,-0.0,0.0,True,True,True,True
17,1.9617804639883357e-05,2.1490011567513697e-05,0.0,-0.0,True,True,True,True
18,2.089212392841379e-05,-2.229585084323143e-05,0.0,-0.0,True,True,True,True
19,3.398191522878073e-05,6.537102583033089e-06,0.0,0.0,True,True,True,True
20,-2.5454412864008037e-05,-4.448253028867574e-05,0.0,0.0,True,True,True,True
21,-9.11439616730508e-06,3.7321709160394658e-06,0.0,0.0,True,True,True,True
22,2.0474237558575517e-05,2.368461707019243e-05,0.0,0.0,True,True,True,True
23,3.637233896355688e-05,-2.6516339651254887e-05,0.0,0.0,True,True,True,True
24,6.915046730643527e-05,-3.316188442212488e-05,0.0,0.0,True,True,True,True
25,-2.1383459689401753e-05,-6.84289429681985e-05,0.0,0.0,True,True,True,True
26,4.27561402769385e-06,-4.313409455854096e-06,-0.0,0.0,True,True,True,True
27,-2.6813783374022503e-05,2.726424967089175e-05,-0.0,0.0,True,True,True,True
28,-3.209574449183277e-05,3.3973020073486914e-05,0.0,0.0,True,True,True,True
29,5.440314868387059e-05,2.6449893434193564e-05,-0.0,0.0,True,True,True,True
30,0.0001166886879533,4.476412465861067e-05,0.0,0.0,True,True,True,True
31,1.073256070707636e-05,-8.007363932683014e-05,0.0,0.0,True,True,True,True
32,5.979645987698479e-05,0.000100688538298,-0.0,0.0,True,True,True,True
33,-3.4941863488751276e-05,4.3810660803747545e-06,0.0,0.0,True,True,True,True
34,-5.02605262266024e-05,2.7854153764050183e-05,0.0,-0.0,True,True,True,True
35,-2.808471753648744e-05,2.5811843905503062e-05,-0.0,0.0,True,True,True,True
36,2.032082811276659e-05,-2.029635865193772e-05,-0.0,0.0,True,True,True,True
37,5.4136463213597265e-05,-4.157148033370594e-05,0.0,-0.0,True,True,True,True
38,6.938374831032557e-05,-3.52461832694296e-07,0.0,0.0,True,True,True,True
39,-1.937954784988904e-05,-4.3382713507445624e-05,0.0,0.0,True,True,True,True
40,-4.959330875768038e-05,-7.441303106106985e-06,0.0,-0.0,True,True,True,True
41,-9.355635204266524e-05,7.193085712106263e-05,0.0,0.0,True,True,True,True
42,-3.0468698035950907e-05,8.195609388434149e-05,0.0,-0.0,True,True,True,True
43,-8.652528087952124e-06,-5.289499952749416e-05,0.0,0.0,True,True,True,True
44,7.015183031043059e-05,-1.2204722437300516e-05,0.0,-0.0,True,True,True,True
45,4.560268889981252e-05,-6.153009984561961e-05,-0.0,0.0,True,True,True,True
46,8.90046012984672e-07,-6.267851063755877e-05,0.0,-0.0,True,True,True,True
47,-2.647689321758503e-05,8.090992767836714e-08,0.0,0.0,True,True,True,True
48,-7.780830477049577e-05,1.9679431179140968e-05,0.0,0.0,True,True,True,True
49,-8.494693008845753e-05,1.544970986763724e-05,0.0,0.0,True,True,True,True
50,7.69247318890175e-05,8.338689723951063e-05,0.0,-0.0,True,True,True,True
51,0.0001338796385189,5.445436001682396e-05,0.0,-0.0,True,True,True,True
52,0.0001012261370871,-0.0001034855267261,0.0,0.0,True,True,True,True
53,2.853705622554312e-05,-2.429175056371932e-05,0.0,-0.0,True,True,True,True
54,5.037668904988152e-05,1.4360909036134105e-06,0.0,0.0,True,True,True,True
55,-0.0001392137991803,-2.5709343559642812e-05,-0.0,0.0,True,True,True,True
56,-0.0001172952186317,4.217436704104281e-05,0.0,-0.0,True,True,True,True
57,-3.17592970297077e-05,-6.797321456016997e-06,0.0,-0.0,True,True,True,True
58,3.152881837959457e-05,-3.566362802897595e-05,0.0,-0.0,True,True,True,True
59,5.079314418608478e-05,-4.053186382445487e-05,0.0,0.0,True,True,True,True
60,4.0329947391487254e-05,-0.0001019293244268,0.0,-0.0,True,True,True,True
61,7.403745201349713e-05,8.842115998339842e-05,0.0,0.0,True,True,True,True
62,1.777940088703605e-05,-3.924721431750084e-05,0.0,-0.0,True,True,True,True
63,-8.039580249936276e-05,7.17954728513678e-05,0.0,0.0,True,True,True,True
64,-6.51424458351097e-05,5.205292317175106e-05,-0.0,0.0,True,True,True,True
65,9.229838153452388e-05,0.000141921402449,0.0,0.0,True,True,True,True
66,7.060072947325161e-05,3.3834537972483965e-05,-0.0,0.0,True,True,True,True
67,0.0001348021517494,-3.836446404331789e-05,0.0,0.0,True,True,True,True
68,9.6617461662728e-05,-1.535502319606131e-05,0.0,0.0,True,True,True,True
69,6.534231085565846e-05,3.186705172470194e-05,0.0,0.0,True,True,True,True
