MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8,Unnamed: 9,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
1,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Sym Gaussian 4.3""",1.82635,1.82635,-,-,,,0.0,-5.125300787013466e-06,0.00010625273597932811,0.00010625273597932811,0.0011432763066666666,80.9047006613576,80.9047006613576,2.5334130663154926e-06,-2.717560320474565e-06,0.00010625273597932811,0.00010625273597932811
2,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Sym Gaussian 8""",3.39833,3.39833,-,-,,From NewAthena Reference telescope design,0.0,-6.068098134833736e-06,0.00019770682523099632,0.00019770682523099632,0.0011432763066666666,66.96823355378586,66.96823355378586,4.358060569494821e-06,-4.5086430810048e-06,0.00019770682523099632,0.00019770682523099632
3,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Asym Gaussian 4.3"" (ratio 4:1)",2.96374090124762,0.740935225311906,-,-,,,0.0,9.567830339196282e-06,0.0001724234563426503,4.310586408566263e-05,0.0011432763066666666,53.03176644621414,53.03176644621414,-8.461403782326269e-06,4.485832488616387e-06,0.0001724234563426503,4.310586408566263e-05
4,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Asym Gaussian 8"" (ratio 7:1)",5.7972050891626,0.828172155594657,-,-,,,0.0,5.9977560598538765e-06,0.00033726772073086267,4.81811029615518e-05,0.0011432763066666666,39.09529933864241,39.09529933864241,-5.9509160174748586e-06,4.677562017906673e-06,0.00033726772073086267,4.81811029615518e-05
5,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Pseudo-Voigt 4.3""",2.22057,0.679177,0.77,0.29,,,0.0,-5.5875475602120894e-06,0.00012918752590336828,3.9512916179391756e-05,0.0016374245533333333,81.25227296286859,81.25227296286859,3.52068443532061e-06,-4.005964881051639e-06,0.00012918752590336828,3.9512916179391756e-05
6,0,0,3.397,3.397,gaussian,0.5,0.5,,,"Fixed Pseudo-Voigt  8""",4.1303,1.2633,0.77,0.29,,,0.0,-1.181744925973177e-05,0.00024029111365040596,7.349581480148122e-05,0.0016374245533333333,67.08409098762286,67.08409098762286,1.0178663369295259e-05,-8.982211348616022e-06,0.00024029111365040596,7.349581480148122e-05
7,0,0,3.397,3.397,gaussian,0.5,0.5,,,"10% Variable Sym Gaussian 4.3""","gaussian (1.82635,10%*1.82635)","gaussian (1.82635,10%*1.82635)",-,-,,,0.0,1.7991510277416713e-05,,,0.0016374245533333333,52.91590901237714,52.91590901237714,-1.4019878810022628e-05,8.438812810759721e-06,,
8,0,0,3.397,3.397,gaussian,0.5,0.5,,,"30% Variable Sym Gaussian 4.3""","gaussian (1.82635,30%*1.82635)","gaussian (1.82635,30%*1.82635)",-,-,,,0.0,7.320013989602176e-06,,,0.0016374245533333333,38.74772703713143,38.74772703713143,-5.847699696981804e-06,5.469994938810979e-06,,
9,0,0,3.397,3.397,gaussian,0.5,0.5,,,"50% Variable Sym Gaussian 4.3""","gaussian (1.82635,50%*1.82635)","gaussian (1.82635,50%*1.82635)",-,-,,,0.0,-1.1831432130162353e-05,,,0.0021275755199999997,81.47539364108697,81.47539364108697,1.1618092076596711e-05,-5.2422013408964105e-06,,
10,0,0,3.397,3.397,gaussian,0.5,0.5,,,"10% Variable Sym Gaussian 8""","gaussian (3.39833,10%*3.39833)","gaussian (3.39833,10%*3.39833)",-,-,,,0.0,-4.477271160573757e-06,,,0.0021275755199999997,67.158464547029,67.158464547029,6.8538635104448834e-06,-6.801529979548096e-06,,
11,0,0,3.397,3.397,gaussian,0.5,0.5,,,"30% Variable Sym Gaussian 8""","gaussian (3.39833,30%*3.39833)","gaussian (3.39833,30%*3.39833)",-,-,,,0.0,1.1407148499141758e-05,,,0.0021275755199999997,52.841535452971016,52.841535452971016,-6.162482053300141e-06,2.1810184647368374e-06,,
12,0,0,3.397,3.397,gaussian,0.5,0.5,,,"50% Variable Sym Gaussian 8""","gaussian (3.39833,50%*3.39833)","gaussian (3.39833,50%*3.39833)",-,-,,,0.0,1.370511099303597e-05,,,0.0021275755199999997,38.524606358913026,38.524606358913026,-8.777006416340486e-06,8.22103355103407e-06,,
13,0,0,3.397,3.397,gaussian,0.5,0.5,,,"10% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96374,10%*2.96374)","gaussian (0.74093,10%*0.74093)",-,-,,,0.0,-2.5202871263831064e-05,,,0.001983757104,83.07283605550454,83.07283605550454,2.6051411876096978e-05,-7.151512032194318e-06,,
14,0,0,3.397,3.397,gaussian,0.5,0.5,,,"30% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96374,30%*2.96374)","gaussian (0.74093,30%*0.74093)",-,-,,,0.0,-1.4464755392690701e-05,,,0.001983757104,71.53641802775226,71.53641802775226,1.7677247817981214e-05,-9.985091856316329e-06,,
15,0,0,3.397,3.397,gaussian,0.5,0.5,,,"50% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96374,50%*2.96374)","gaussian (0.74093,50%*0.74093)",-,-,,,0.0,4.033033637018205e-06,,,0.001983757104,60.0,60.0,1.6446232719619102e-06,-4.111647026143114e-06,,
