MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay,source
1,0.0,0.0,2.994209119682738,1.133460865484699,pseudo-voigt,0.6909252567049573,0.2938662186809129,,,"Fixed Sym Gaussian 4.3""",1.826,1.826,-,-,,,,,,,-2.5501936091778085e-06,-1.637994775423203e-05,9.999999999999999e-06,9.999999999999999e-06,0.0011432763066666666,80.9047006613576,80.9047006613576,1.1791959102026087e-05,-1.608136347253808e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
2,0.0,0.0,4.477002065543922,3.857787154607141,pseudo-voigt,0.8578854830958985,0.3092016267443135,,,"Fixed Sym Gaussian 8""",3.397,3.397,-,-,,From NewAthena Reference telescope design,,,,From NewAthena Reference telescope design,-5.717263269573227e-07,-3.894200086962304e-06,9.999999999999999e-06,9.999999999999999e-06,0.0011432763066666666,66.96823355378586,66.96823355378586,2.8244739811986726e-08,-9.136935840748952e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
3,0.0,0.0,4.888173748135062,0.6146127449679616,pseudo-voigt,0.7514747077577804,0.2499998843066859,,,"Fixed Asym Gaussian 4.3"" (ratio 4:1)",2.96374090124762,0.740935225311906,-,-,,,,,,,3.51320448377814e-06,-5.284011078047046e-06,9.999999999999999e-06,9.999999999999999e-06,0.0011432763066666666,53.03176644621414,53.03176644621414,9.608239680335188e-06,3.7961505145077556e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
4,0.0,0.0,3.500357878910195,3.376921955339888,pseudo-voigt,0.7827586008316862,0.2540371803533468,,,"Fixed Asym Gaussian 8"" (ratio 7:1)",5.7972050891626,0.828172155594657,-,-,,,,,,,4.7929887707768785e-06,3.9095725204369335e-06,9.999999999999999e-06,9.999999999999999e-06,0.0011432763066666666,39.09529933864241,39.09529933864241,-2.4362702699527406e-05,-1.297340100412779e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
5,0.0,0.0,5.341780955291819,6.256028931965552,pseudo-voigt,0.9363858684525187,0.2512300910131376,,,"Fixed Pseudo-Voigt 4.3""",2.22057,0.679177,0.77,0.29,,,,,,,-5.240721703333859e-06,-1.0356261164329528e-05,9.999999999999999e-06,9.999999999999999e-06,0.0016374245533333333,81.25227296286859,81.25227296286859,1.1639008723634677e-05,1.7397804404304725e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
6,0.0,0.0,4.437093802391974,5.670309321433936,pseudo-voigt,0.6631901838007338,0.2238423070478022,,,"Fixed Pseudo-Voigt  8""",4.1303,1.2633,0.77,0.29,,,,,,,-4.395146397284015e-06,2.268480487381305e-06,9.999999999999999e-06,9.999999999999999e-06,0.0016374245533333333,67.08409098762286,67.08409098762286,-5.289063275961386e-06,-9.395798689134686e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
7,0.0,0.0,3.164858310705806,1.549238890058777,pseudo-voigt,0.739517892948492,0.2422824110656982,,,"10% Variable Sym Gaussian 4.3""","gaussian (1.826,10%*1.826)","gaussian (1.826,10%*1.826)",-,-,,,,,,,7.238387292342986e-06,1.0453306174567927e-05,9.999999999999999e-06,9.999999999999999e-06,0.0016374245533333333,52.91590901237714,52.91590901237714,-3.132597014650409e-06,1.034124354477145e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
8,0.0,0.0,1.630218617316615,4.340424919450576,pseudo-voigt,0.8783451372173573,0.2619421837628852,,,"30% Variable Sym Gaussian 4.3""","gaussian (1.826,30%*1.826)","gaussian (1.826,30%*1.826)",-,-,,,,,,,6.336128062923591e-06,-1.3182583083312349e-06,9.999999999999999e-06,9.999999999999999e-06,0.0016374245533333333,38.74772703713143,38.74772703713143,2.2321698175028504e-05,1.700049385697404e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
9,0.0,0.0,2.115251031566129,0.9868974759525573,pseudo-voigt,0.5358076196688661,0.3156070954549774,,,"50% Variable Sym Gaussian 4.3""","gaussian (1.826,50%*1.826)","gaussian (1.826,50%*1.826)",-,-,,,,,,,1.1926696395758328e-06,-1.9485424698466157e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021275755199999997,81.47539364108697,81.47539364108697,1.6007852428284326e-05,-2.7590150004416764e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
10,0.0,0.0,3.858785277878081,4.115478884175222,pseudo-voigt,0.7540226111644235,0.3304781122592519,,,"10% Variable Sym Gaussian 8""","gaussian (3.397,10%*3.397)","gaussian (3.397,10%*3.397)",-,-,,,,,,,3.565507511614635e-06,-5.1058111638389415e-06,9.999999999999999e-06,9.999999999999999e-06,0.0021275755199999997,67.158464547029,67.158464547029,1.972576868040172e-06,-2.000930997790123e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
11,0.0,0.0,3.239251543487181,0.5632322377348765,pseudo-voigt,0.6940407988242661,0.2778223376637571,,,"30% Variable Sym Gaussian 8""","gaussian (3.397,30%*3.397)","gaussian (3.397,30%*3.397)",-,-,,,,,,,-2.740542444148676e-06,2.767992931030798e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021275755199999997,52.841535452971016,52.841535452971016,-2.7821734602045687e-06,3.358185061467105e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
12,0.0,0.0,4.341819636478832,1.817738333014799,pseudo-voigt,0.8459082453348209,0.2862442077187648,,,"50% Variable Sym Gaussian 8""","gaussian (3.397,50%*3.397)","gaussian (3.397,50%*3.397)",-,-,,,,,,,-3.6973947823313697e-06,3.0720709890789724e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021275755199999997,38.524606358913026,38.524606358913026,-4.099405224745207e-05,4.321441153983994e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
13,0.0,0.0,1.299014754318974,5.437246627211113,pseudo-voigt,0.789882011775209,0.2586521866111388,,,"10% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96,10%*2.96)","gaussian (0.74,10%*0.74)",-,-,,,,,,,-1.1938187206166271e-06,-4.2604527302063424e-05,9.999999999999999e-06,9.999999999999999e-06,0.001983757104,83.07283605550454,83.07283605550454,4.22821709152586e-05,-1.7842200330757536e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
14,0.0,0.0,1.336386065085269,3.379354218231716,pseudo-voigt,0.6952316195229619,0.3047172050596247,,,"30% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96,30%*2.96)","gaussian (0.74,30%*0.74)",-,-,,,,,,,1.42995457306327e-06,-2.532478129431942e-05,9.999999999999999e-06,9.999999999999999e-06,0.001983757104,71.53641802775226,71.53641802775226,3.603682300361494e-05,1.0711008869349167e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
15,0.0,0.0,2.799734580500563,2.473002493264772,pseudo-voigt,0.6840776221676219,0.2374162236214889,,,"50% Variable Asym Gaussian 4.3"" (ratio 4:1)","gaussian (2.96,50%*2.96)","gaussian (0.74,50%*0.74)",-,-,,,,,,,2.471471451943501e-06,1.3064607651140552e-05,9.999999999999999e-06,9.999999999999999e-06,0.001983757104,60.0,60.0,1.5066281347410834e-06,1.3712486413237664e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
16,0.0,0.0,2.84084316582235,1.271425901673156,pseudo-voigt,0.8518906861107731,0.2949757063544478,,,"10% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,10%*5.8)","gaussian (0.83,10%*0.83)",-,-,,,,,,,1.910766588844358e-06,-9.36634713791772e-06,9.999999999999999e-06,9.999999999999999e-06,0.001983757104,48.46358197224773,48.46358197224773,-4.664898470842594e-06,-2.8806332978928008e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
17,0.0,0.0,2.374899588714284,0.488445280802343,pseudo-voigt,0.6569144381349988,0.2801690216282846,,,"30% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,30%*5.8)","gaussian (0.83,30%*0.83)",-,-,,,,,,,1.355003814536361e-06,8.30893941406672e-06,9.999999999999999e-06,9.999999999999999e-06,0.001983757104,36.92716394449546,36.92716394449546,1.9617804639883357e-05,2.1490011567513697e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
18,0.0,0.0,3.03104503543325,4.654719483571577,pseudo-voigt,0.7172456756269767,0.2694349205483221,,,"50% Variable Asym Gaussian 8"" (ratio 7:1)","gaussian (5.8,50%*5.8)","gaussian (0.83,50%*0.83)",-,-,,,,,,,1.251273344371622e-06,-2.159232209185642e-05,9.999999999999999e-06,9.999999999999999e-06,0.0023533133866666667,83.19491191309002,83.19491191309002,2.089212392841379e-05,-2.229585084323143e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
19,0.0,0.0,3.114838017101841,1.883045615415389,pseudo-voigt,0.8497521585254127,0.3157133959874089,,,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,10%*2.22057)","gaussian (0.679177,10%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,1.3047852167969849e-06,-2.225558252809418e-05,9.999999999999999e-06,9.999999999999999e-06,0.0023533133866666667,71.597455956545,71.597455956545,3.398191522878073e-05,6.537102583033089e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
20,0.0,0.0,4.968986162636184,4.394170411675969,pseudo-voigt,0.9170554595387828,0.3257696227596356,,,"30% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,30%*2.22057)","gaussian (0.679177,30%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,3.352511411516808e-06,1.1473034236137058e-05,9.999999999999999e-06,9.999999999999999e-06,0.0023533133866666667,60.0,60.0,-2.5454412864008037e-05,-4.448253028867574e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
