MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
1,0.0,0.0,0.00017419602543901577,6.59420801507085e-05,pseudo-voigt,0.2938662186809129,0.6909252567049573,0.0011432763066666666,6.968233553785865,6.968233553785865,0.0,-0.0,0.00017419602543901577,6.59420801507085e-05
2,0.0,0.0,0.0002604614222077614,0.00022443695896346046,pseudo-voigt,0.3092016267443135,0.8578854830958985,0.0011432763066666666,66.96823355378586,66.96823355378586,0.0,-0.0,0.0002604614222077614,0.00022443695896346046
3,0.0,0.0,0.0002843824210483628,3.575672008137047e-05,pseudo-voigt,0.2499998843066859,0.7514747077577804,0.0011432763066666666,-39.095299338642405,-39.095299338642405,0.0,0.0,0.0002843824210483628,3.575672008137047e-05
4,0.0,0.0,0.00020364256661702627,0.00019646135567855317,pseudo-voigt,0.2540371803533468,0.7827586008316862,0.0011432763066666666,-53.031766446214135,-53.031766446214135,-0.0,0.0,0.00020364256661702627,0.00019646135567855317
5,0.0,0.0,0.0003107722186339008,0.0003639610098760774,pseudo-voigt,0.2512300910131376,0.9363858684525187,0.0,-81.25227296286857,-81.25227296286857,0.0,0.0,0.0003107722186339008,0.0003639610098760774
6,0.0,0.0,0.0002581396535719153,0.00032988522421849217,pseudo-voigt,0.2238423070478022,0.6631901838007338,0.0,-52.91590901237714,-52.91590901237714,-0.0,0.0,0.0002581396535719153,0.00032988522421849217
7,0.0,0.0,0.00018412399293640672,9.013106510489368e-05,pseudo-voigt,0.2422824110656982,0.739517892948492,0.0,7.084090987622858,7.084090987622858,0.0,-0.0,0.00018412399293640672,9.013106510489368e-05
8,0.0,0.0,9.484227466494793e-05,0.0002525156859334074,pseudo-voigt,0.2619421837628852,0.8783451372173573,0.0,-38.7477270371314,-38.7477270371314,0.0,0.0,9.484227466494793e-05,0.0002525156859334074
9,0.0,0.0,0.0001230603166901182,5.741536778331229e-05,pseudo-voigt,0.3156070954549774,0.5358076196688661,0.0,-7.15846454702897,-7.15846454702897,-0.0,0.0,0.0001230603166901182,5.741536778331229e-05
10,0.0,0.0,0.00022449502742152275,0.0002394288560838666,pseudo-voigt,0.3304781122592519,0.7540226111644235,0.0,38.524606358913076,38.524606358913076,0.0,-0.0,0.00022449502742152275,0.0002394288560838666
11,0.0,0.0,0.00018845201578053194,3.276752333949681e-05,pseudo-voigt,0.2778223376637571,0.6940407988242661,0.0,7.1584645470289985,7.1584645470289985,0.0,0.0,0.00018845201578053194,3.276752333949681e-05
