MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay
1,0.0,0.0,5e-08,5e-08,gaussian,0.2938662186809129,0.6909252567049573,0.0011432763066666666,5e-08,5e-08
2,0.0,0.0,5e-08,5e-08,gaussian,0.3092016267443135,0.8578854830958985,0.0011432763066666666,5e-08,5e-08
3,0.0,0.0,5e-08,5e-08,gaussian,0.2499998843066859,0.7514747077577804,0.0011432763066666666,5e-08,5e-08
4,0.0,0.0,5e-08,5e-08,gaussian,0.2540371803533468,0.7827586008316862,0.0011432763066666666,5e-08,5e-08
5,0.0,0.0,5e-08,5e-08,gaussian,0.2512300910131376,0.9363858684525187,0.0,5e-08,5e-08
6,0.0,0.0,5e-08,5e-08,gaussian,0.2238423070478022,0.6631901838007338,0.0,5e-08,5e-08
7,0.0,0.0,5e-08,5e-08,gaussian,0.2422824110656982,0.739517892948492,0.0,5e-08,5e-08
8,0.0,0.0,5e-08,5e-08,gaussian,0.2619421837628852,0.8783451372173573,0.0,5e-08,5e-08
9,0.0,0.0,5e-08,5e-08,gaussian,0.3156070954549774,0.5358076196688661,0.0,5e-08,5e-08
10,0.0,0.0,5e-08,5e-08,gaussian,0.3304781122592519,0.7540226111644235,0.0,5e-08,5e-08
11,0.0,0.0,5e-08,5e-08,gaussian,0.2778223376637571,0.6940407988242661,0.0,5e-08,5e-08
12,0.0,0.0,5e-08,5e-08,gaussian,0.2862442077187648,0.8459082453348209,0.0,5e-08,5e-08
13,0.0,0.0,5e-08,5e-08,gaussian,0.2586521866111388,0.789882011775209,0.0,5e-08,5e-08
14,0.0,0.0,5e-08,5e-08,gaussian,0.3047172050596247,0.6952316195229619,0.0,5e-08,5e-08
15,0.0,0.0,5e-08,5e-08,gaussian,0.2374162236214889,0.6840776221676219,0.0,5e-08,5e-08
16,0.0,0.0,5e-08,5e-08,gaussian,0.2949757063544478,0.8518906861107731,0.0,5e-08,5e-08
17,0.0,0.0,5e-08,5e-08,gaussian,0.2801690216282846,0.6569144381349988,0.0,5e-08,5e-08
18,0.0,0.0,5e-08,5e-08,gaussian,0.2694349205483221,0.7172456756269767,0.0,5e-08,5e-08
19,0.0,0.0,5e-08,5e-08,gaussian,0.3157133959874089,0.8497521585254127,0.0,5e-08,5e-08
20,0.0,0.0,5e-08,5e-08,gaussian,0.3257696227596356,0.9170554595387828,0.0,5e-08,5e-08
21,0.0,0.0,5e-08,5e-08,gaussian,0.3200676750756927,0.7517065225752787,0.0,5e-08,5e-08
22,0.0,0.0,5e-08,5e-08,gaussian,0.3132620604543345,0.6840149234892747,0.0,5e-08,5e-08
23,0.0,0.0,5e-08,5e-08,gaussian,0.2869982637318513,0.7857142957138818,0.0,5e-08,5e-08
24,0.0,0.0,5e-08,5e-08,gaussian,0.2908451056810665,0.5985548512933923,0.0,5e-08,5e-08
25,0.0,0.0,5e-08,5e-08,gaussian,0.2734828427824037,0.833424838822311,0.0,5e-08,5e-08
26,0.0,0.0,5e-08,5e-08,gaussian,0.2894369612307691,0.7383201908137915,0.0,5e-08,5e-08
27,0.0,0.0,5e-08,5e-08,gaussian,0.3531671374737339,0.829749694731514,0.0,5e-08,5e-08
28,0.0,0.0,5e-08,5e-08,gaussian,0.2821860558888039,0.6747094837858281,0.0,5e-08,5e-08
29,0.0,0.0,5e-08,5e-08,gaussian,0.3180283111299446,0.8177102201054942,0.0,5e-08,5e-08
30,0.0,0.0,5e-08,5e-08,gaussian,0.267632202477071,0.8009686180156025,0.0,5e-08,5e-08
31,0.0,0.0,5e-08,5e-08,gaussian,0.2987542038441074,0.6103456153317439,0.0,5e-08,5e-08
32,0.0,0.0,5e-08,5e-08,gaussian,0.3187905418590231,0.9240776824129568,0.0,5e-08,5e-08
33,0.0,0.0,5e-08,5e-08,gaussian,0.2895132777786235,0.7062183379783776,0.0,5e-08,5e-08
34,0.0,0.0,5e-08,5e-08,gaussian,0.3201453436564796,0.8240375548768755,0.0,5e-08,5e-08
35,0.0,0.0,5e-08,5e-08,gaussian,0.3356748724850168,0.6550078631475045,0.0,5e-08,5e-08
36,0.0,0.0,5e-08,5e-08,gaussian,0.3064509259393936,0.6329315752074484,0.0,5e-08,5e-08
37,0.0,0.0,5e-08,5e-08,gaussian,0.3283188352698079,0.7074116766666891,0.0,5e-08,5e-08
38,0.0,0.0,5e-08,5e-08,gaussian,0.3081197122836798,0.7465857441629444,0.0,5e-08,5e-08
39,0.0,0.0,5e-08,5e-08,gaussian,0.2557409335864941,0.648778704501608,0.0,5e-08,5e-08
40,0.0,0.0,5e-08,5e-08,gaussian,0.3406534064438296,0.7970127533811256,0.0,5e-08,5e-08
41,0.0,0.0,5e-08,5e-08,gaussian,0.2833000697773581,0.7059686638956498,0.0,5e-08,5e-08
42,0.0,0.0,5e-08,5e-08,gaussian,0.3113136834126231,0.844130929963957,0.0,5e-08,5e-08
43,0.0,0.0,5e-08,5e-08,gaussian,0.2921438972591241,0.5975893375462631,0.0,5e-08,5e-08
44,0.0,0.0,5e-08,5e-08,gaussian,0.3192992405575061,0.6487573560824341,0.0,5e-08,5e-08
45,0.0,0.0,5e-08,5e-08,gaussian,0.3265354737551159,0.7644882917830554,0.0,5e-08,5e-08
46,0.0,0.0,5e-08,5e-08,gaussian,0.2722103463814949,0.8049869208055183,0.0,5e-08,5e-08
47,0.0,0.0,5e-08,5e-08,gaussian,0.2954614525722571,0.7936139864460331,0.0,5e-08,5e-08
48,0.0,0.0,5e-08,5e-08,gaussian,0.2542437826477947,0.6829559485972044,0.0,5e-08,5e-08
49,0.0,0.0,5e-08,5e-08,gaussian,0.2338762247758548,0.7801107590182444,0.0,5e-08,5e-08
50,0.0,0.0,5e-08,5e-08,gaussian,0.2514932641781377,0.755203103067283,0.0,5e-08,5e-08
51,0.0,0.0,5e-08,5e-08,gaussian,0.271122891690588,0.7825834185617647,0.0,5e-08,5e-08
52,0.0,0.0,5e-08,5e-08,gaussian,0.2795895028361949,0.8378827445866552,0.0,5e-08,5e-08
53,0.0,0.0,5e-08,5e-08,gaussian,0.2608497694336787,0.6879932100812882,0.0,5e-08,5e-08
54,0.0,0.0,5e-08,5e-08,gaussian,0.2354027075260376,0.8246789121718295,0.0,5e-08,5e-08
55,0.0,0.0,5e-08,5e-08,gaussian,0.3255146802593751,0.8061059066277314,0.0,5e-08,5e-08
56,0.0,0.0,5e-08,5e-08,gaussian,0.2458898561488594,0.8297500008190792,0.0,5e-08,5e-08
57,0.0,0.0,5e-08,5e-08,gaussian,0.2998566058129453,0.8275641857906526,0.0,5e-08,5e-08
58,0.0,0.0,5e-08,5e-08,gaussian,0.2430410531982918,0.7153650514984444,0.0,5e-08,5e-08
59,0.0,0.0,5e-08,5e-08,gaussian,0.232737543598911,0.7194818078169019,0.0,5e-08,5e-08
60,0.0,0.0,5e-08,5e-08,gaussian,0.2904694313081103,0.7507703295284872,0.0,5e-08,5e-08
61,0.0,0.0,5e-08,5e-08,gaussian,0.3071084242676698,0.7436336838883897,0.0,5e-08,5e-08
62,0.0,0.0,5e-08,5e-08,gaussian,0.2945792506167218,0.5853906161154707,0.0,5e-08,5e-08
63,0.0,0.0,5e-08,5e-08,gaussian,0.2587459073215618,0.9544660876082602,0.0,5e-08,5e-08
64,0.0,0.0,5e-08,5e-08,gaussian,0.3186341386781596,0.751272503255551,0.0,5e-08,5e-08
65,0.0,0.0,5e-08,5e-08,gaussian,0.307395470925367,0.823914407432985,0.0,5e-08,5e-08
66,0.0,0.0,5e-08,5e-08,gaussian,0.3015660653507908,0.7987206180604955,0.0,5e-08,5e-08
67,0.0,0.0,5e-08,5e-08,gaussian,0.310718945831125,0.7638297014278899,0.0,5e-08,5e-08
68,0.0,0.0,5e-08,5e-08,gaussian,0.2776729361158065,0.5631398710210814,0.0,5e-08,5e-08
69,0.0,0.0,5e-08,5e-08,gaussian,0.2562147513849919,0.7441161933862971,0.0,5e-08,5e-08
70,0.0,0.0,5e-08,5e-08,gaussian,0.2431437697627142,0.8051481064532672,0.0,5e-08,5e-08
71,0.0,0.0,5e-08,5e-08,gaussian,0.3039654311403233,0.6674847181819313,0.0,5e-08,5e-08
72,0.0,0.0,5e-08,5e-08,gaussian,0.3213664275640817,0.9693838219716276,0.0,5e-08,5e-08
73,0.0,0.0,5e-08,5e-08,gaussian,0.3607600507833251,0.6615989873569391,0.0,5e-08,5e-08
74,0.0,0.0,5e-08,5e-08,gaussian,0.2236705236849021,0.8532426240116363,0.0,5e-08,5e-08
75,0.0,0.0,5e-08,5e-08,gaussian,0.3009937418593609,0.8622055670717876,0.0,5e-08,5e-08
76,0.0,0.0,5e-08,5e-08,gaussian,0.2868644208729223,0.8201115096431242,0.0,5e-08,5e-08
77,0.0,0.0,5e-08,5e-08,gaussian,0.2655573261792257,0.810423205940342,0.0,5e-08,5e-08
78,0.0,0.0,5e-08,5e-08,gaussian,0.2766978940383274,0.8165100176594445,0.0,5e-08,5e-08
79,0.0,0.0,5e-08,5e-08,gaussian,0.2791065450700332,0.8950485915361436,0.0,5e-08,5e-08
80,0.0,0.0,5e-08,5e-08,gaussian,0.2864624319089646,0.8593895477670251,0.0,5e-08,5e-08
81,0.0,0.0,5e-08,5e-08,gaussian,0.3292054467154034,0.6497066162866663,0.0,5e-08,5e-08
82,0.0,0.0,5e-08,5e-08,gaussian,0.3218534252097113,0.735188470287858,0.0,5e-08,5e-08
83,0.0,0.0,5e-08,5e-08,gaussian,0.3492490324893227,0.8476114512054346,0.0,5e-08,5e-08
84,0.0,0.0,5e-08,5e-08,gaussian,0.3068598512023778,0.9024561929852948,0.0,5e-08,5e-08
85,0.0,0.0,5e-08,5e-08,gaussian,0.279407282912409,0.6682870596086826,0.0,5e-08,5e-08
86,0.0,0.0,5e-08,5e-08,gaussian,0.272620178044131,0.6903689765979125,0.0,5e-08,5e-08
87,0.0,0.0,5e-08,5e-08,gaussian,0.2656695263825486,0.8026483047477173,0.0,5e-08,5e-08
