MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
1,0.0,0.0,5e-08,5e-08,gaussian,0.2938662186809129,0.6909252567049573,0.0011432763066666666,5e-08,5e-08,-39.095299338642405,-39.095299338642405,0.0,0.0
2,0.0,0.0,5e-08,5e-08,gaussian,0.3092016267443135,0.8578854830958985,0.0011432763066666666,5e-08,5e-08,6.968233553785865,6.968233553785865,0.0,-0.0
3,0.0,0.0,5e-08,5e-08,gaussian,0.2499998843066859,0.7514747077577804,0.0011432763066666666,5e-08,5e-08,-20.904700661357595,-20.904700661357595,-0.0,0.0
4,0.0,0.0,5e-08,5e-08,gaussian,0.2540371803533468,0.7827586008316862,0.0011432763066666666,5e-08,5e-08,-66.96823355378586,-66.96823355378586,0.0,0.0
5,0.0,0.0,5e-08,5e-08,gaussian,0.2512300910131376,0.9363858684525187,0.0,5e-08,5e-08,-38.747727037131426,-38.747727037131426,-0.0,0.0
6,0.0,0.0,5e-08,5e-08,gaussian,0.2238423070478022,0.6631901838007338,0.0,5e-08,5e-08,7.084090987622858,7.084090987622858,0.0,0.0
7,0.0,0.0,5e-08,5e-08,gaussian,0.2422824110656982,0.739517892948492,0.0,5e-08,5e-08,-21.252272962868602,-21.252272962868602,0.0,0.0
8,0.0,0.0,5e-08,5e-08,gaussian,0.2619421837628852,0.8783451372173573,0.0,5e-08,5e-08,67.08409098762289,67.08409098762289,0.0,-0.0
9,0.0,0.0,5e-08,5e-08,gaussian,0.3156070954549774,0.5358076196688661,0.0,5e-08,5e-08,-67.15846454702898,-67.15846454702898,-0.0,0.0
10,0.0,0.0,5e-08,5e-08,gaussian,0.3304781122592519,0.7540226111644235,0.0,5e-08,5e-08,-38.52460635891305,-38.52460635891305,0.0,0.0
11,0.0,0.0,5e-08,5e-08,gaussian,0.2778223376637571,0.6940407988242661,0.0,5e-08,5e-08,67.158464547029,67.158464547029,0.0,0.0
12,0.0,0.0,5e-08,5e-08,gaussian,0.2862442077187648,0.8459082453348209,0.0,5e-08,5e-08,-81.47539364108695,-81.47539364108695,0.0,0.0
13,0.0,0.0,5e-08,5e-08,gaussian,0.2586521866111388,0.789882011775209,0.0,5e-08,5e-08,71.53641802775232,71.53641802775232,0.0,-0.0
14,0.0,0.0,5e-08,5e-08,gaussian,0.3047172050596247,0.6952316195229619,0.0,5e-08,5e-08,-59.99999999999997,-59.99999999999997,-0.0,0.0
15,0.0,0.0,5e-08,5e-08,gaussian,0.2374162236214889,0.6840776221676219,0.0,5e-08,5e-08,11.536418027752262,11.536418027752262,0.0,0.0
16,0.0,0.0,5e-08,5e-08,gaussian,0.2949757063544478,0.8518906861107731,0.0,5e-08,5e-08,-36.927163944495476,-36.927163944495476,-0.0,0.0
17,0.0,0.0,5e-08,5e-08,gaussian,0.2801690216282846,0.6569144381349988,0.0,5e-08,5e-08,36.927163944495476,36.927163944495476,0.0,-0.0
18,0.0,0.0,5e-08,5e-08,gaussian,0.2694349205483221,0.7172456756269767,0.0,5e-08,5e-08,36.805088086910004,36.805088086910004,0.0,-0.0
19,0.0,0.0,5e-08,5e-08,gaussian,0.3157133959874089,0.8497521585254127,0.0,5e-08,5e-08,-36.805088086910004,-36.805088086910004,0.0,0.0
20,0.0,0.0,5e-08,5e-08,gaussian,0.3257696227596356,0.9170554595387828,0.0,5e-08,5e-08,-60.00000000000003,-60.00000000000003,0.0,0.0
21,0.0,0.0,5e-08,5e-08,gaussian,0.3200676750756927,0.7517065225752787,0.0,5e-08,5e-08,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0
22,0.0,0.0,5e-08,5e-08,gaussian,0.3132620604543345,0.6840149234892747,0.0,5e-08,5e-08,36.805088086909976,36.805088086909976,0.0,0.0
23,0.0,0.0,5e-08,5e-08,gaussian,0.2869982637318513,0.7857142957138818,0.0,5e-08,5e-08,-45.444643381176235,-45.444643381176235,0.0,0.0
24,0.0,0.0,5e-08,5e-08,gaussian,0.2908451056810665,0.5985548512933923,0.0,5e-08,5e-08,74.55535661882374,74.55535661882374,0.0,0.0
25,0.0,0.0,5e-08,5e-08,gaussian,0.2734828427824037,0.833424838822311,0.0,5e-08,5e-08,-64.8517855396079,-64.8517855396079,0.0,0.0
26,0.0,0.0,5e-08,5e-08,gaussian,0.2894369612307691,0.7383201908137915,0.0,5e-08,5e-08,-4.851785539607874,-4.851785539607874,-0.0,0.0
27,0.0,0.0,5e-08,5e-08,gaussian,0.3531671374737339,0.829749694731514,0.0,5e-08,5e-08,-35.7410723019604,-35.7410723019604,-0.0,0.0
