MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay
1,-2.5501936091778085e-06,-1.637994775423203e-05,5e-08,5e-08,gaussian,0.2938662186809129,0.6909252567049573,0.0011432763066666666,1.1791959102026087e-05,-1.608136347253808e-05,5e-08,5e-08
2,-5.717263269573227e-07,-3.894200086962304e-06,5e-08,5e-08,gaussian,0.3092016267443135,0.8578854830958985,0.0011432763066666666,2.8244739811986726e-08,-9.136935840748952e-06,5e-08,5e-08
3,3.51320448377814e-06,-5.284011078047046e-06,5e-08,5e-08,gaussian,0.2499998843066859,0.7514747077577804,0.0011432763066666666,9.608239680335188e-06,3.7961505145077556e-06,5e-08,5e-08
4,4.7929887707768785e-06,3.9095725204369335e-06,5e-08,5e-08,gaussian,0.2540371803533468,0.7827586008316862,0.0011432763066666666,-2.4362702699527406e-05,-1.297340100412779e-05,5e-08,5e-08
5,-5.240721703333859e-06,-1.0356261164329528e-05,5e-08,5e-08,gaussian,0.2512300910131376,0.9363858684525187,0.0,1.1639008723634677e-05,1.7397804404304725e-05,5e-08,5e-08
6,-4.395146397284015e-06,2.268480487381305e-06,5e-08,5e-08,gaussian,0.2238423070478022,0.6631901838007338,0.0,-5.289063275961386e-06,-9.395798689134686e-06,5e-08,5e-08
7,7.238387292342986e-06,1.0453306174567927e-05,5e-08,5e-08,gaussian,0.2422824110656982,0.739517892948492,0.0,-3.132597014650409e-06,1.034124354477145e-05,5e-08,5e-08
8,6.336128062923591e-06,-1.3182583083312349e-06,5e-08,5e-08,gaussian,0.2619421837628852,0.8783451372173573,0.0,2.2321698175028504e-05,1.700049385697404e-05,5e-08,5e-08
9,1.1926696395758328e-06,-1.9485424698466157e-05,5e-08,5e-08,gaussian,0.3156070954549774,0.5358076196688661,0.0,1.6007852428284326e-05,-2.7590150004416764e-05,5e-08,5e-08
10,3.565507511614635e-06,-5.1058111638389415e-06,5e-08,5e-08,gaussian,0.3304781122592519,0.7540226111644235,0.0,1.972576868040172e-06,-2.000930997790123e-05,5e-08,5e-08
11,-2.740542444148676e-06,2.767992931030798e-05,5e-08,5e-08,gaussian,0.2778223376637571,0.6940407988242661,0.0,-2.7821734602045687e-06,3.358185061467105e-05,5e-08,5e-08
12,-3.6973947823313697e-06,3.0720709890789724e-05,5e-08,5e-08,gaussian,0.2862442077187648,0.8459082453348209,0.0,-4.099405224745207e-05,4.321441153983994e-06,5e-08,5e-08
13,-1.1938187206166271e-06,-4.2604527302063424e-05,5e-08,5e-08,gaussian,0.2586521866111388,0.789882011775209,0.0,4.22821709152586e-05,-1.7842200330757536e-05,5e-08,5e-08
14,1.42995457306327e-06,-2.532478129431942e-05,5e-08,5e-08,gaussian,0.3047172050596247,0.6952316195229619,0.0,3.603682300361494e-05,1.0711008869349167e-05,5e-08,5e-08
15,2.471471451943501e-06,1.3064607651140552e-05,5e-08,5e-08,gaussian,0.2374162236214889,0.6840776221676219,0.0,1.5066281347410834e-06,1.3712486413237664e-05,5e-08,5e-08
16,1.910766588844358e-06,-9.36634713791772e-06,5e-08,5e-08,gaussian,0.2949757063544478,0.8518906861107731,0.0,-4.664898470842594e-06,-2.8806332978928008e-05,5e-08,5e-08
17,1.355003814536361e-06,8.30893941406672e-06,5e-08,5e-08,gaussian,0.2801690216282846,0.6569144381349988,0.0,1.9617804639883357e-05,2.1490011567513697e-05,5e-08,5e-08
18,1.251273344371622e-06,-2.159232209185642e-05,5e-08,5e-08,gaussian,0.2694349205483221,0.7172456756269767,0.0,2.089212392841379e-05,-2.229585084323143e-05,5e-08,5e-08
19,1.3047852167969849e-06,-2.225558252809418e-05,5e-08,5e-08,gaussian,0.3157133959874089,0.8497521585254127,0.0,3.398191522878073e-05,6.537102583033089e-06,5e-08,5e-08
20,3.352511411516808e-06,1.1473034236137058e-05,5e-08,5e-08,gaussian,0.3257696227596356,0.9170554595387828,0.0,-2.5454412864008037e-05,-4.448253028867574e-05,5e-08,5e-08
21,5.9023032389745126e-06,1.828786119940933e-05,5e-08,5e-08,gaussian,0.3200676750756927,0.7517065225752787,0.0,-9.11439616730508e-06,3.7321709160394654e-06,5e-08,5e-08
22,-1.9890365461101818e-06,9.818423099939199e-06,5e-08,5e-08,gaussian,0.3132620604543345,0.6840149234892747,0.0,2.0474237558575517e-05,2.368461707019243e-05,5e-08,5e-08
23,-3.353388393711562e-07,-4.038070391665637e-05,5e-08,5e-08,gaussian,0.2869982637318513,0.7857142957138818,0.0,3.637233896355688e-05,-2.6516339651254887e-05,5e-08,5e-08
24,3.409805864978168e-06,-6.808097904857154e-05,5e-08,5e-08,gaussian,0.2908451056810665,0.5985548512933923,0.0,6.915046730643527e-05,-3.316188442212488e-05,5e-08,5e-08
25,1.071292985780027e-06,4.1665460995933265e-06,5e-08,5e-08,gaussian,0.2734828427824037,0.833424838822311,0.0,-2.1383459689401753e-05,-6.84289429681985e-05,5e-08,5e-08
26,1.0514698719716749e-05,8.829276972317434e-06,5e-08,5e-08,gaussian,0.2894369612307691,0.7383201908137915,0.0,4.27561402769385e-06,-4.313409455854096e-06,5e-08,5e-08
27,2.508961426858499e-06,4.687396956629551e-05,5e-08,5e-08,gaussian,0.3531671374737339,0.829749694731514,0.0,-2.6813783374022506e-05,2.7264249670891754e-05,5e-08,5e-08
28,-3.181035253324727e-06,4.613425398689863e-05,5e-08,5e-08,gaussian,0.2821860558888039,0.6747094837858281,0.0,-3.209574449183277e-05,3.3973020073486914e-05,5e-08,5e-08
29,6.682367003920003e-06,-5.5014350600069104e-05,5e-08,5e-08,gaussian,0.3180283111299446,0.8177102201054942,0.0,5.440314868387059e-05,2.6449893434193564e-05,5e-08,5e-08
30,-1.665911599928415e-06,-9.715475378986e-05,5e-08,5e-08,gaussian,0.267632202477071,0.8009686180156025,0.0,0.00011668868795338411,4.476412465861067e-05,5e-08,5e-08
31,-4.0107262266059695e-06,-2.4575601704340522e-05,5e-08,5e-08,gaussian,0.2987542038441074,0.6103456153317439,0.0,1.0732560707076359e-05,-8.007363932683014e-05,5e-08,5e-08
32,-2.44993407324561e-07,1.674556793496413e-05,5e-08,5e-08,gaussian,0.3187905418590231,0.9240776824129568,0.0,5.979645987698479e-05,0.00010068853829804222,5e-08,5e-08
33,1.816445095709281e-06,4.6145045275195166e-05,5e-08,5e-08,gaussian,0.2895132777786235,0.7062183379783776,0.0,-3.4941863488751276e-05,4.3810660803747545e-06,5e-08,5e-08
34,-6.089321173024544e-06,6.226929439643537e-05,5e-08,5e-08,gaussian,0.3201453436564796,0.8240375548768755,0.0,-5.0260526226602396e-05,2.7854153764050186e-05,5e-08,5e-08
35,5.1182070892304e-06,3.560538763220871e-05,5e-08,5e-08,gaussian,0.3356748724850168,0.6550078631475045,0.0,-2.8084717536487442e-05,2.5811843905503062e-05,5e-08,5e-08
36,9.105011907053076e-08,-2.626492341418962e-05,5e-08,5e-08,gaussian,0.3064509259393936,0.6329315752074484,0.0,2.032082811276659e-05,-2.0296358651937718e-05,5e-08,5e-08
37,1.66387259329646e-06,-5.571560085106971e-05,5e-08,5e-08,gaussian,0.3283188352698079,0.7074116766666891,0.0,5.4136463213597265e-05,-4.157148033370594e-05,5e-08,5e-08
38,-1.407587581260273e-06,-4.752609533138791e-05,5e-08,5e-08,gaussian,0.3081197122836798,0.7465857441629444,0.0,6.938374831032557e-05,-3.52461832694296e-07,5e-08,5e-08
39,-7.011991243756766e-06,1.5890200021403133e-05,5e-08,5e-08,gaussian,0.2557409335864941,0.648778704501608,0.0,-1.9379547849889042e-05,-4.3382713507445624e-05,5e-08,5e-08
40,2.060808679691348e-06,5.254896264361281e-05,5e-08,5e-08,gaussian,0.3406534064438296,0.7970127533811256,0.0,-4.959330875768038e-05,-7.441303106106985e-06,5e-08,5e-08
