MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay,theta_degrees,theta_position
1,-2.5501936091778085e-06,-1.637994775423203e-05,5e-08,5e-08,gaussian,0.2938662186809129,0.6909252567049573,0.0011432763066666666,-1.1553455914963764e-05,1.1887970066275022e-05,5e-08,5e-08,53.031766446214164,53.031766446214164
2,-5.717263269573227e-07,-3.894200086962304e-06,5e-08,5e-08,gaussian,0.3092016267443135,0.8578854830958985,0.0011432763066666666,-9.506273836659897e-08,-3.93479712132755e-06,5e-08,5e-08,6.968233553785851,6.968233553785851
3,3.51320448377814e-06,-5.284011078047046e-06,5e-08,5e-08,gaussian,0.2499998843066859,0.7514747077577804,0.0011432763066666666,-1.3965359923022972e-06,6.189754925678959e-06,5e-08,5e-08,-20.904700661357595,-20.904700661357595
4,4.7929887707768785e-06,3.9095725204369335e-06,5e-08,5e-08,gaussian,0.2540371803533468,0.7827586008316862,0.0011432763066666666,6.18525358203635e-06,1.1695095355103237e-08,5e-08,5e-08,-39.095299338642405,-39.095299338642405
5,-5.240721703333859e-06,-1.0356261164329528e-05,5e-08,5e-08,gaussian,0.2512300910131376,0.9363858684525187,0.0,2.394618869188761e-06,-1.1357073115328597e-05,5e-08,5e-08,38.74772703713143,38.74772703713143
6,-4.395146397284015e-06,2.268480487381305e-06,5e-08,5e-08,gaussian,0.2238423070478022,0.6631901838007338,0.0,-4.641357294446233e-06,1.7091278596053342e-06,5e-08,5e-08,7.084090987622858,7.084090987622858
7,7.238387292342986e-06,1.0453306174567927e-05,5e-08,5e-08,gaussian,0.2422824110656982,0.739517892948492,0.0,-1.2187931943797456e-05,-3.622178281997429e-06,5e-08,5e-08,-38.747727037131426,-38.747727037131426
8,6.336128062923591e-06,-1.3182583083312349e-06,5e-08,5e-08,gaussian,0.2619421837628852,0.8783451372173573,0.0,2.7689573125484422e-06,-5.849546922500638e-06,5e-08,5e-08,-52.915909012377114,-52.915909012377114
9,1.1926696395758328e-06,-1.9485424698466157e-05,5e-08,5e-08,gaussian,0.3156070954549774,0.5358076196688661,0.0,-1.749444142336462e-05,-8.663068499857592e-06,5e-08,5e-08,-67.15846454702898,-67.15846454702898
10,3.565507511614635e-06,-5.1058111638389415e-06,5e-08,5e-08,gaussian,0.3304781122592519,0.7540226111644235,0.0,4.1739709286595775e-06,-4.621700784653574e-06,5e-08,5e-08,7.1584645470289985,7.1584645470289985
11,-2.740542444148676e-06,2.767992931030798e-05,5e-08,5e-08,gaussian,0.2778223376637571,0.6940407988242661,0.0,2.657315837012562e-05,-8.219264793644868e-06,5e-08,5e-08,67.15846454702901,67.15846454702901
12,-3.6973947823313697e-06,3.0720709890789724e-05,5e-08,5e-08,gaussian,0.2862442077187648,0.8459082453348209,0.0,2.983323636469088e-05,8.210405128796163e-06,5e-08,5e-08,-81.47539364108695,-81.47539364108695
13,-1.1938187206166271e-06,-4.2604527302063424e-05,5e-08,5e-08,gaussian,0.2586521866111388,0.789882011775209,0.0,-4.214954242146421e-05,6.323529349275727e-06,5e-08,5e-08,83.07283605550452,83.07283605550452
14,1.42995457306327e-06,-2.532478129431942e-05,5e-08,5e-08,gaussian,0.3047172050596247,0.6952316195229619,0.0,2.2646881232697206e-05,-1.142401366062919e-05,5e-08,5e-08,60.0,60.0
15,2.471471451943501e-06,1.3064607651140552e-05,5e-08,5e-08,gaussian,0.2374162236214889,0.6840776221676219,0.0,1.912584066690894e-07,-1.3294945070886543e-05,5e-08,5e-08,11.53641802775229,11.53641802775229
16,1.910766588844358e-06,-9.36634713791772e-06,5e-08,5e-08,gaussian,0.2949757063544478,0.8518906861107731,0.0,-1.9127612648744148e-06,-9.365939995997167e-06,5e-08,5e-08,-23.072836055504553,-23.072836055504553
17,1.355003814536361e-06,8.30893941406672e-06,5e-08,5e-08,gaussian,0.2801690216282846,0.6569144381349988,0.0,-2.009668002052691e-06,8.175313085476609e-06,5e-08,5e-08,23.07283605550451,23.07283605550451
18,1.251273344371622e-06,-2.159232209185642e-05,5e-08,5e-08,gaussian,0.2694349205483221,0.7172456756269767,0.0,1.531662212217911e-05,1.527072837382616e-05,5e-08,5e-08,-48.40254404345495,-48.40254404345495
19,1.3047852167969849e-06,-2.225558252809418e-05,5e-08,5e-08,gaussian,0.3157133959874089,0.8497521585254127,0.0,1.7509575969675607e-05,-1.3799571279171737e-05,5e-08,5e-08,48.40254404345498,48.40254404345498
20,3.352511411516808e-06,1.1473034236137058e-05,5e-08,5e-08,gaussian,0.3257696227596356,0.9170554595387828,0.0,1.0805560192510248e-05,5.1097667533813475e-06,5e-08,5e-08,-48.40254404345498,-48.40254404345498
21,5.9023032389745126e-06,1.828786119940933e-05,5e-08,5e-08,gaussian,0.3200676750756927,0.7517065225752787,0.0,2.1053131826871323e-06,1.91010656031666e-05,5e-08,5e-08,11.597455956545005,11.597455956545005
22,-1.9890365461101818e-06,9.818423099939199e-06,5e-08,5e-08,gaussian,0.3132620604543345,0.6840149234892747,0.0,-2.038823565995344e-06,-9.80820559623031e-06,5e-08,5e-08,-23.194911913089996,-23.194911913089996
23,-3.353388393711562e-07,-4.038070391665637e-05,5e-08,5e-08,gaussian,0.2869982637318513,0.7857142957138818,0.0,2.853892339770506e-05,-2.8569976413042085e-05,5e-08,5e-08,45.44464338117625,45.44464338117625
24,3.409805864978168e-06,-6.808097904857154e-05,5e-08,5e-08,gaussian,0.2908451056810665,0.5985548512933923,0.0,-6.471439618593412e-05,-2.1417128905127154e-05,5e-08,5e-08,-74.55535661882374,-74.55535661882374
25,1.071292985780027e-06,4.1665460995933265e-06,5e-08,5e-08,gaussian,0.2734828427824037,0.833424838822311,0.0,-3.720585026174794e-06,-2.1598662283627086e-06,5e-08,5e-08,-45.444643381176206,-45.444643381176206
26,1.0514698719716749e-05,8.829276972317434e-06,5e-08,5e-08,gaussian,0.2894369612307691,0.7383201908137915,0.0,-1.1223789395109466e-05,-7.908322997610569e-06,5e-08,5e-08,-4.851785539607874,-4.851785539607874
27,2.508961426858499e-06,4.687396956629551e-05,5e-08,5e-08,gaussian,0.3531671374737339,0.829749694731514,0.0,3.990008829838332e-05,2.4727451630216076e-05,5e-08,5e-08,-55.14821446039207,-55.14821446039207
28,-3.181035253324727e-06,4.613425398689863e-05,5e-08,5e-08,gaussian,0.2821860558888039,0.6747094837858281,0.0,3.967711354147601e-05,-2.375321109297408e-05,5e-08,5e-08,55.1482144603921,55.1482144603921
29,6.682367003920003e-06,-5.5014350600069104e-05,5e-08,5e-08,gaussian,0.3180283111299446,0.8177102201054942,0.0,-3.9002270476764037e-05,-3.937074673383453e-05,5e-08,5e-08,-51.65617782116013,-51.65617782116013
30,-1.665911599928415e-06,-9.715475378986e-05,5e-08,5e-08,gaussian,0.267632202477071,0.8009686180156025,0.0,9.664540406885988e-05,-1.0074091412821865e-05,5e-08,5e-08,85.03146653651956,85.03146653651956
31,-4.0107262266059695e-06,-2.4575601704340522e-05,5e-08,5e-08,gaussian,0.2987542038441074,0.6103456153317439,0.0,1.3939951174837956e-05,-2.0633077454376592e-05,5e-08,5e-08,43.3123556423203,43.3123556423203
32,-2.44993407324561e-07,1.674556793496413e-05,5e-08,5e-08,gaussian,0.3187905418590231,0.9240776824129568,0.0,-1.3285573022936915e-05,1.0196451180991463e-05,5e-08,5e-08,51.65617782116015,51.65617782116015
33,1.816445095709281e-06,4.6145045275195166e-05,5e-08,5e-08,gaussian,0.2895132777786235,0.7062183379783776,0.0,2.7935463859252352e-05,3.6773285618828564e-05,5e-08,5e-08,-34.96853346348044,-34.96853346348044
34,-6.089321173024544e-06,6.226929439643537e-05,5e-08,5e-08,gaussian,0.3201453436564796,0.8240375548768755,0.0,5.261562635206115e-05,-3.385470012507083e-05,5e-08,5e-08,51.656177821160185,51.656177821160185
35,5.1182070892304e-06,3.560538763220871e-05,5e-08,5e-08,gaussian,0.3356748724850168,0.6550078631475045,0.0,-2.4600591767457368e-05,-2.6244057554787482e-05,5e-08,5e-08,-34.968533463480426,-34.968533463480426
36,9.105011907053076e-08,-2.626492341418962e-05,5e-08,5e-08,gaussian,0.3064509259393936,0.6329315752074484,0.0,7.473740090046088e-06,2.5179310974366772e-05,5e-08,5e-08,-16.73059840142797,-16.73059840142797
37,1.66387259329646e-06,-5.571560085106971e-05,5e-08,5e-08,gaussian,0.3283188352698079,0.7074116766666891,0.0,4.471762455977215e-05,-3.327657890970323e-05,5e-08,5e-08,51.634700799286,51.634700799286
38,-1.407587581260273e-06,-4.752609533138791e-05,5e-08,5e-08,gaussian,0.3081197122836798,0.7465857441629444,0.0,-3.813741380587903e-05,-2.839451898599865e-05,5e-08,5e-08,-51.63470079928601,-51.63470079928601
39,-7.011991243756766e-06,1.5890200021403133e-05,5e-08,5e-08,gaussian,0.2557409335864941,0.648778704501608,0.0,-2.14082229467809e-06,1.7236106225749797e-05,5e-08,5e-08,-16.730598401427983,-16.730598401427983
40,2.060808679691348e-06,5.254896264361281e-05,5e-08,5e-08,gaussian,0.3406534064438296,0.7970127533811256,0.0,3.451805910738117e-05,-3.9675483649143415e-05,5e-08,5e-08,43.269401598572045,43.269401598572045
