MM #,weight,sigmax,sigmay,mux,muy,base_mux,base_muy
1,0.0011432763066666666,5e-08,5e-08,-1.1553455914963764e-05,1.1887970066275022e-05,1.1791959102026087e-05,-1.608136347253808e-05
303,0.0011432763066666666,5e-08,5e-08,6.092226322852159e-06,7.53159579168503e-06,3.422417503795432e-05,3.3431468502471206e-05
103,0.0011432763066666666,5e-08,5e-08,4.441270179531241e-06,-1.0873810559030578e-05,-2.168245175872542e-05,5.208927769223255e-06
104,0.0011432763066666666,5e-08,5e-08,2.0076765148176547e-05,-6.732083601895859e-06,5.054186530488613e-05,4.729871410885443e-06
201,0.0011432763066666666,5e-08,5e-08,1.62320255520708e-05,-6.729675447965914e-06,3.177629121109278e-06,-2.291198602564974e-05
202,0.0011432763066666666,5e-08,5e-08,-2.0079022645963035e-05,5.783832147963947e-06,-2.1301045580640172e-05,-6.033128796399139e-06
203,0.0011432763066666666,5e-08,5e-08,-2.4925064210005337e-05,3.657557796260563e-06,1.3928986206277271e-05,3.176769928296461e-05
204,0.0011432763066666666,5e-08,5e-08,-8.413804294916625e-06,-1.1575892860333589e-05,1.660756162124861e-05,5.914564917235444e-07
2,0.0011432763066666666,5e-08,5e-08,-9.506273836659897e-08,-3.93479712132755e-06,2.8244739811986726e-08,-9.136935840748952e-06
302,0.0011432763066666666,5e-08,5e-08,6.097796160792975e-06,6.739209076923113e-06,-2.2441556801085203e-05,-3.5536580679910385e-05
304,0.0011432763066666666,5e-08,5e-08,-5.924521134108929e-07,-5.111593991534749e-06,1.1618097027362503e-05,4.5799169444611133e-07
101,0.0011432763066666666,5e-08,5e-08,-1.6440827197238307e-06,2.6472575274307186e-06,1.9906226077134876e-05,5.334400758168443e-06
401,0.0011432763066666666,5e-08,5e-08,-1.5027939614177827e-06,-8.149441935174917e-06,6.4084616970960925e-06,7.899388804524134e-06
402,0.0011432763066666666,5e-08,5e-08,-9.838403413258958e-07,2.8974407713623367e-06,-3.270511041298082e-05,-6.7075798792809425e-06
403,0.0011432763066666666,5e-08,5e-08,-3.3800799373008767e-06,3.6158622408175255e-06,5.004756047128127e-07,3.013512141182805e-06
404,0.0011432763066666666,5e-08,5e-08,-7.660679437287593e-10,-1.2376780282499942e-07,2.9503731857922943e-05,-1.3583025480315508e-05
501,0.0011432763066666666,5e-08,5e-08,-8.510771339755763e-07,-6.849508790814108e-06,5.920345394764775e-06,-1.595328767124486e-05
502,0.0011432763066666666,5e-08,5e-08,-6.4611348638751974e-06,-7.573494401456134e-06,7.6096830707131754e-06,4.098578036826093e-06
503,0.0011432763066666666,5e-08,5e-08,-1.4259620190380538e-05,-1.755687040655983e-05,-2.0727718814334037e-05,-4.099064502523769e-06
504,0.0011432763066666666,5e-08,5e-08,-1.1551633373342492e-08,4.3846892778029115e-06,-5.360393063558128e-06,-9.942480306425184e-06
