MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
1,0,0,2.994209119682738,1.133460865484699,gaussian,0.6909252567049573,0.2938662186809129,,,"Fixed Sym Gaussian 4.3""",1.826,1.826,-,-,,,,,,,-2.5501936091778085e-06,-1.637994775423203e-05,5e-08,5e-08,0.0011432763066666666,80.9047006613576,80.9047006613576,1.1791959102026087e-05,-1.608136347253808e-05,5e-08,5e-08
2,0,0,4.477002065543922,3.857787154607141,gaussian,0.8578854830958985,0.3092016267443135,,,"Fixed Sym Gaussian 8""",3.397,3.397,-,-,,From NewAthena Reference telescope design,,,,From NewAthena Reference telescope design,-5.717263269573227e-07,-3.894200086962304e-06,5e-08,5e-08,0.0011432763066666666,66.96823355378586,66.96823355378586,2.8244739811986726e-08,-9.136935840748952e-06,5e-08,5e-08
3,0,0,4.888173748135062,0.6146127449679616,gaussian,0.7514747077577804,0.2499998843066859,,,"Fixed Asym Gaussian 4.3"" (ratio 4:1)",2.96374090124762,0.740935225311906,-,-,,,,,,,3.51320448377814e-06,-5.284011078047046e-06,5e-08,5e-08,0.0011432763066666666,53.03176644621414,53.03176644621414,9.608239680335188e-06,3.7961505145077556e-06,5e-08,5e-08
4,0,0,3.500357878910195,3.376921955339888,gaussian,0.7827586008316862,0.2540371803533468,,,"Fixed Asym Gaussian 8"" (ratio 7:1)",5.7972050891626,0.828172155594657,-,-,,,,,,,4.7929887707768785e-06,3.9095725204369335e-06,5e-08,5e-08,0.0011432763066666666,39.09529933864241,39.09529933864241,-2.4362702699527406e-05,-1.297340100412779e-05,5e-08,5e-08
5,0,0,5.341780955291819,6.256028931965552,gaussian,0.9363858684525187,0.2512300910131376,,,"Fixed Pseudo-Voigt 4.3""",2.22057,0.679177,0.77,0.29,,,,,,,-5.240721703333859e-06,-1.0356261164329528e-05,5e-08,5e-08,0.0016374245533333333,81.25227296286859,81.25227296286859,1.1639008723634677e-05,1.7397804404304725e-05,5e-08,5e-08
6,0,0,4.437093802391974,5.670309321433936,gaussian,0.6631901838007338,0.2238423070478022,,,"Fixed Pseudo-Voigt  8""",4.1303,1.2633,0.77,0.29,,,,,,,-4.395146397284015e-06,2.268480487381305e-06,5e-08,5e-08,0.0016374245533333333,67.08409098762286,67.08409098762286,-5.289063275961386e-06,-9.395798689134686e-06,5e-08,5e-08
7,0,0,3.164858310705806,1.549238890058777,gaussian,0.739517892948492,0.2422824110656982,,,"10% Variable Sym Gaussian 4.3""","gaussian (1.826,10%*1.826)","gaussian (1.826,10%*1.826)",-,-,,,,,,,7.238387292342986e-06,1.0453306174567927e-05,5e-08,5e-08,0.0016374245533333333,52.91590901237714,52.91590901237714,-3.132597014650409e-06,1.034124354477145e-05,5e-08,5e-08
8,0,0,1.630218617316615,4.340424919450576,gaussian,0.8783451372173573,0.2619421837628852,,,"30% Variable Sym Gaussian 4.3""","gaussian (1.826,30%*1.826)","gaussian (1.826,30%*1.826)",-,-,,,,,,,6.336128062923591e-06,-1.3182583083312349e-06,5e-08,5e-08,0.0016374245533333333,38.74772703713143,38.74772703713143,2.2321698175028504e-05,1.700049385697404e-05,5e-08,5e-08
9,0,0,2.115251031566129,0.9868974759525573,gaussian,0.5358076196688661,0.3156070954549774,,,"50% Variable Sym Gaussian 4.3""","gaussian (1.826,50%*1.826)","gaussian (1.826,50%*1.826)",-,-,,,,,,,1.1926696395758328e-06,-1.9485424698466157e-05,5e-08,5e-08,0.0021275755199999997,81.47539364108697,81.47539364108697,1.6007852428284326e-05,-2.7590150004416764e-05,5e-08,5e-08
10,0,0,3.858785277878081,4.115478884175222,gaussian,0.7540226111644235,0.3304781122592519,,,"10% Variable Sym Gaussian 8""","gaussian (3.397,10%*3.397)","gaussian (3.397,10%*3.397)",-,-,,,,,,,3.565507511614635e-06,-5.1058111638389415e-06,5e-08,5e-08,0.0021275755199999997,67.158464547029,67.158464547029,1.972576868040172e-06,-2.000930997790123e-05,5e-08,5e-08
