combo_id,A_eff,MM_PSF,Alignment,Thermal,Gravity offload,distribution_type,distribution_fixed_variable,distribution_variability_level,distribution_symmetry,A_eff_row,input_file,hew_origin_arcsec,hew_best_arcsec,eef90_origin_arcsec,eef90_best_arcsec,hew_opt_arcsec,eef90_opt_arcsec
1,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,1,20260203T102454Z_1_A_eff1_keV_row1_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
2,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,2,20260203T102454Z_2_A_eff1_keV_row2_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
3,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,3,20260203T102454Z_3_A_eff1_keV_row3_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
4,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,4,20260203T102454Z_4_A_eff1_keV_row4_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
5,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,5,20260203T102454Z_5_A_eff1_keV_row5_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
6,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,6,20260203T102454Z_6_A_eff1_keV_row6_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
7,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,7,20260203T102454Z_7_A_eff1_keV_row7_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
8,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,8,20260203T102454Z_8_A_eff1_keV_row8_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
9,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,9,20260203T102454Z_9_A_eff1_keV_row9_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
10,1 keV,"Fixed Sym Gaussian 8""",0,0,0,gaussian,fixed,-,Symmetric,10,20260203T102454Z_10_A_eff1_keV_row10_MM_PSFFixed_Sym_Gaussian_8_Alignment0_Thermal0_Gravity_offload0.csv,7.991128375301884,7.991173830523128,14.574067553188824,14.574155104657825,,
