index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756823,14.232254825968663,2.033175753678063
1,1.82635,1.82635,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756824,4.984630201279157,0.7120888004197473
2,3.39833,3.39833,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756825,0.6492209089013758,0.09274568414490658
3,2.96374090124762,0.740935225311906,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756826,4.280017094470705,0.6114299587952465
4,5.7972050891626,0.828172155594657,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756827,4.054692738808921,0.5792408206546926
5,2.22057,0.679177,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756828,9.042305415310729,1.2917556882284356
6,4.1303,1.2633,"{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756829,6.877554796624446,0.9825061332920146
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756830,1.9457306667069063,1.9457306667069063
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756831,2.2455221210438423,2.2455221210438423
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756832,2.0182499759175045,2.0182499759175045
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756833,3.3091099097863172,3.3091099097863172
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756834,5.324769825612202,5.324769825612202
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756835,2.6076625763446746,2.6076625763446746
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756836,2.708326386437747,0.6770770275069065
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756837,2.802478972136026,0.700615015090644
15,"gamma (2.96374,50%*2.96374)","gamma (0.74093,50%*0.74093)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756838,2.2401640769231776,0.5600372399450324
16,"gamma (5.79720,10%*5.79720)","gamma (0.82817,10%*0.82817)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756839,6.267552534780333,0.8953631033480006
17,"gamma (5.79720,30%*5.79720)","gamma (0.82817,30%*0.82817)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756840,9.545123486504497,1.3635867173494838
18,"gamma (5.79720,50%*5.79720)","gamma (0.82817,50%*0.82817)","{'dist': 'gamma', 'mean': 5.7972, 'sigma': 2.8986}","{'dist': 'gamma', 'mean': 0.82817, 'sigma': 0.414085}",3852756841,11.58424119739823,1.6548887449888379
