index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183701,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183702,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183703,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183704,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183705,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183706,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183707,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183708,1.9137308380457236,1.9137308380457236
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183709,2.554281172648374,2.554281172648374
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183710,2.2231548393868468,2.2231548393868468
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183711,3.2448619966618533,3.2448619966618533
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183712,4.21878035793059,4.21878035793059
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183713,4.025388969467635,4.025388969467635
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183714,3.005695593739211,0.7514188276533005
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183715,3.490545815412377,0.8726305651013557
15,"gamma (2.96374,50%*2.96374)","gamma (0.74093,50%*0.74093)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183716,4.909864445544019,1.2274578281620288
16,"gamma (5.79720,10%*5.79720)","gamma (0.82817,10%*0.82817)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183717,6.176669819441927,0.8823798806953739
17,"gamma (5.79720,30%*5.79720)","gamma (0.82817,30%*0.82817)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183718,5.8791043405432735,0.8398705998943838
18,"gamma (5.79720,50%*5.79720)","gamma (0.82817,50%*0.82817)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183719,3.339717200600009,0.47710163424082475
19,"gamma (2.22057,10%*2.22057)","gamma (0.679177,10%*0.679177)","{'dist': 'fixed', 'value': 4.1303}","{'dist': 'fixed', 'value': 1.2633}",3401183720,2.3267133950484764,0.7116417061875278
