index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152684,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152685,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152686,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152687,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152688,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152689,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152690,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152691,2.1925491510756996,2.1925491510756996
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152692,1.8052807082674065,1.8052807082674065
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152693,2.2940193921374195,2.2940193921374195
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152694,3.207237817001197,3.207237817001197
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152695,2.3969690916476054,2.3969690916476054
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152696,3.5089641169632717,3.5089641169632717
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152697,2.7611324397255324,0.6902784517420009
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",189152698,3.522325021826149,0.880575313091448
