index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180492,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180493,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180494,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180495,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180496,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180497,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180498,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180499,1.5333154137900806,1.5333154137900806
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180500,1.7626029455385852,1.7626029455385852
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180501,1.3909963966509487,1.3909963966509487
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180502,3.6731171312839206,3.6731171312839206
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180503,3.242272676976374,3.242272676976374
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180504,1.3452031783507754,1.3452031783507754
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180505,2.8164230679989513,0.7041010155318828
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180506,3.917701503137803,0.9794187663964761
15,"gamma (2.96374,50%*2.96374)","gamma (0.74093,50%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180507,1.7344720803826608,0.4336150939414135
16,"gamma (5.79720,10%*5.79720)","gamma (0.82817,10%*0.82817)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180508,6.402278842398276,0.9146096855221454
17,"gamma (5.79720,30%*5.79720)","gamma (0.82817,30%*0.82817)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3300180509,5.666304884746888,0.8094707300767318
