index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565425,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565426,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565427,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565428,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565429,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565430,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565431,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565432,1.9538588791252212,1.9538588791252212
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565433,1.9911914019288726,1.9911914019288726
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565434,1.1180541286695498,1.1180541286695498
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",3902565435,3.68041899714563,3.68041899714563
