index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961949,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961950,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961951,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961952,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961953,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961954,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961955,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961956,1.8206941172504365,1.8206941172504365
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961957,2.342807254783192,2.342807254783192
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961958,3.669403705828226,3.669403705828226
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961959,3.7267741997742068,3.7267741997742068
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1232961960,2.8724126927272073,2.8724126927272073
