index,sr_template,sa_template,sr_def,sa_def,seed,sampled_sr_raw,sampled_sa_raw
0,0.01,0.01,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875565,0.01,0.01
1,1.82635,1.82635,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875566,1.82635,1.82635
2,3.39833,3.39833,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875567,3.39833,3.39833
3,2.96374090124762,0.740935225311906,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875568,2.96374090124762,0.740935225311906
4,5.7972050891626,0.828172155594657,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875569,5.7972050891626,0.828172155594657
5,2.22057,0.679177,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875570,2.22057,0.679177
6,4.1303,1.2633,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875571,4.1303,1.2633
7,"gamma (1.82635,10%*1.82635)","gamma (1.82635,10%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875572,1.8822674427508888,1.8822674427508888
8,"gamma (1.82635,30%*1.82635)","gamma (1.82635,30%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875573,1.6174147267228534,1.6174147267228534
9,"gamma (1.82635,50%*1.82635)","gamma (1.82635,50%*1.82635)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875574,5.857121555436571,5.857121555436571
10,"gamma (3.39833,10%*3.39833)","gamma (3.39833,10%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875575,3.108069050014184,3.108069050014184
11,"gamma (3.39833,30%*3.39833)","gamma (3.39833,30%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875576,4.366863084170039,4.366863084170039
12,"gamma (3.39833,50%*3.39833)","gamma (3.39833,50%*3.39833)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875577,3.760962184343399,3.760962184343399
13,"gamma (2.96374,10%*2.96374)","gamma (0.74093,10%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875578,3.371536336015476,0.8428783960279733
14,"gamma (2.96374,30%*2.96374)","gamma (0.74093,30%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875579,3.2482406691150203,0.8120546873097477
15,"gamma (2.96374,50%*2.96374)","gamma (0.74093,50%*0.74093)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875580,3.409472577374874,0.8523623923672001
16,"gamma (5.79720,10%*5.79720)","gamma (0.82817,10%*0.82817)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875581,6.826574279605105,0.9752232148520942
17,"gamma (5.79720,30%*5.79720)","gamma (0.82817,30%*0.82817)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875582,6.971607622356236,0.9959422280767893
18,"gamma (5.79720,50%*5.79720)","gamma (0.82817,50%*0.82817)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875583,11.188382887994216,1.598337655480261
19,"gamma (2.22057,10%*2.22057)","gamma (0.679177,10%*0.679177)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875584,1.9092276575471399,0.583950748127685
20,"gamma (2.22057,30%*2.22057)","gamma (0.679177,30%*0.679177)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875585,2.7835236674269015,0.8513603506631184
21,"gamma (2.22057,50%*2.22057)","gamma (0.679177,50%*0.679177)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875586,0.9105238314625353,0.27849013734366873
22,"gamma (4.1303,10%*4.1303)","gamma (1.2633,10%*1.2633)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875587,3.877992617285204,1.1861288704007935
23,"gamma (4.1303,30%*4.1303)","gamma (1.2633,30%*1.2633)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875588,5.916678613937242,1.809684549061065
24,"gamma (4.1303,50%*4.1303)","gamma (1.2633,50%*1.2633)","{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875589,4.116764766505694,1.259160092372623
25,nan,nan,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875590,0.01,0.01
26,nan,nan,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875591,0.01,0.01
27,nan,nan,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875592,0.01,0.01
28,nan,nan,"{'dist': 'fixed', 'value': 0.01}","{'dist': 'fixed', 'value': 0.01}",1906875593,0.01,0.01
