# sheet: MM_PSF
MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi
1,0.0,0.0,3.8320598109123383,1.1988138749399646,pseudo-voigt,0.6953990525164696,0.3238861735548606
2,0.0,0.0,4.073134651672688,1.2963824829371489,pseudo-voigt,1.0178184448867622,0.2909062973689641
3,0.0,0.0,4.286710981863034,1.0733924874369023,pseudo-voigt,0.6729936187613988,0.29266429291374396
4,0.0,0.0,4.0313268964843925,1.3140122233495626,pseudo-voigt,0.8097624245563585,0.28129149731499475
5,0.0,0.0,3.8882028838858287,1.523576448799488,pseudo-voigt,0.8074325547628467,0.278833579930812
6,0.0,0.0,4.2426217707363065,1.4919928053773737,pseudo-voigt,0.7770484716233509,0.2909997205274032
7,0.0,0.0,3.976269167219394,1.2349693505083486,pseudo-voigt,0.7196566790671095,0.2871370969370124
8,0.0,0.0,4.047147579680833,1.245451131620574,pseudo-voigt,0.7994823796491864,0.3351635145032019
9,0.0,0.0,3.513456353865417,1.12988102882253,pseudo-voigt,0.757951150986895,0.2597084736540075
10,0.0,0.0,3.619052467213885,1.1643187726550726,pseudo-voigt,0.7491293940451116,0.2912510380269469
11,0.0,0.0,3.9723754614897984,1.2164797338924878,pseudo-voigt,0.8987088955635781,0.28147916682188606
12,0.0,0.0,4.424649358315894,1.2957348696428437,pseudo-voigt,0.9228901362228634,0.32458609193047183
13,0.0,0.0,4.818756238470178,1.1609657265028728,pseudo-voigt,0.7830926948019293,0.28868130419588434
14,0.0,0.0,4.4780605267875835,1.3902226613718334,pseudo-voigt,0.6594200957744617,0.3203177231996096
15,0.0,0.0,4.505972746068939,1.3670312324495604,pseudo-voigt,0.7931680096039737,0.24773604458708906
16,0.0,0.0,4.25897036672514,1.241921696517444,pseudo-voigt,0.9502229425861741,0.30713977031763645
17,0.0,0.0,4.494337528178868,1.2332178245065293,pseudo-voigt,0.8469168890540709,0.2755286926220244
18,0.0,0.0,3.587746089867953,1.0397892531673638,pseudo-voigt,0.7152691589879977,0.2548309337907055
19,0.0,0.0,4.237506396009484,1.2947153397864746,pseudo-voigt,0.7670633162672158,0.26543773688250755
20,0.0,0.0,3.3386875579410065,1.3088875928056432,pseudo-voigt,0.934812160802463,0.288466491988749
21,0.0,0.0,3.6604673110913484,1.4664758487338623,pseudo-voigt,0.8861193188969475,0.3393350952735802
22,0.0,0.0,4.407966311736091,1.377976073791807,pseudo-voigt,0.8148919102327137,0.2936446967271123
23,0.0,0.0,3.6169926975994846,1.2159228308935301,pseudo-voigt,0.6118630623528833,0.39526150301619006
24,0.0,0.0,4.662528808342406,1.1836480689022466,pseudo-voigt,0.7239075159235696,0.29870806614591844
25,0.0,0.0,4.249234093812797,1.4688610551226204,pseudo-voigt,0.8140248547482697,0.2992221228539367
26,0.0,0.0,4.496827334848122,1.1854988777504385,pseudo-voigt,0.8576284201945258,0.2578462999583041
27,0.0,0.0,3.8645645085809903,1.4022163233638265,pseudo-voigt,0.8142572462152501,0.26271570819618983
28,0.0,0.0,4.022448063152528,1.340941235440407,pseudo-voigt,0.744451406212632,0.2744586640289711
29,0.0,0.0,3.5778915494963526,1.2524042284899628,pseudo-voigt,0.8415077933806986,0.19713663786338614
30,0.0,0.0,4.003269934980273,1.3862253156349635,pseudo-voigt,0.6986637451544595,0.3191376210408563
31,0.0,0.0,4.316147225159167,1.2535611634511215,pseudo-voigt,0.9115653625579873,0.2915626702115054
32,0.0,0.0,4.969796883525128,1.1319486037466666,pseudo-voigt,0.7506366228100662,0.2339290669835425
33,0.0,0.0,4.180451399026101,1.1451165753366388,pseudo-voigt,0.884114593490453,0.26848451053214506
34,0.0,0.0,3.8305992701728324,1.3527984256902073,pseudo-voigt,0.8472207806712467,0.257797013612298
35,0.0,0.0,3.2319973908142066,1.1767283493924996,pseudo-voigt,0.7900791341901454,0.30014991397507174
36,0.0,0.0,3.994782646020621,1.3194319322077765,pseudo-voigt,0.720784392761571,0.31344472092349807
37,0.0,0.0,4.72945344050601,1.086628669072939,pseudo-voigt,0.7999543168818982,0.2983143199097912
38,0.0,0.0,4.427337693838883,1.450086046121453,pseudo-voigt,0.7644045157951498,0.3372029888267276
39,0.0,0.0,4.35592127650844,1.1542709067009025,pseudo-voigt,0.8212821173098942,0.2926118557722072
40,0.0,0.0,3.633837857137208,1.3859316572636122,pseudo-voigt,0.711105808626545,0.2757804266043158
41,0.0,0.0,4.605994393474117,1.2387268013668982,pseudo-voigt,0.7970093903190503,0.28384912159624714
42,0.0,0.0,3.868644760993085,1.4911675189610456,pseudo-voigt,0.641219033628631,0.26678601974702126
43,0.0,0.0,3.752717228606261,1.3544925311085363,pseudo-voigt,0.6971996656535024,0.3408226550821259
44,0.0,0.0,3.9232969779219555,1.393202626966246,pseudo-voigt,0.603671026522305,0.2560313615796577
45,0.0,0.0,4.098504646862135,1.4125199851609274,pseudo-voigt,0.7915743679739653,0.27713866302526685
46,0.0,0.0,4.705889518225009,1.0969316780240383,pseudo-voigt,0.7333309491322895,0.28495491636038645
47,0.0,0.0,3.8660268657699843,1.252376823759567,pseudo-voigt,0.709913951093016,0.26544231486623704
48,0.0,0.0,3.475615573289573,1.0942773066744858,pseudo-voigt,0.8980550079551579,0.2950527680475422
49,0.0,0.0,4.265743085500059,1.3544958319976592,pseudo-voigt,0.9273650806277449,0.3106490350478259
50,0.0,0.0,4.824964382394433,1.3611709907686638,pseudo-voigt,0.7803219212394026,0.34091470658501694
51,0.0,0.0,4.208410324155175,1.1809686282568508,pseudo-voigt,0.8932896444736166,0.3594533316294624
52,0.0,0.0,3.886659359904153,1.2110663134646762,pseudo-voigt,0.9219023578512563,0.3376344211066038
53,0.0,0.0,4.186930122103887,1.3384360238221684,pseudo-voigt,0.8566472765713108,0.3228421470032353
54,0.0,0.0,4.432195508270421,1.2951700089984026,pseudo-voigt,0.8003190744174795,0.29368482566749665
55,0.0,0.0,3.1847515525987355,0.9901624892297318,pseudo-voigt,0.759890244555148,0.2789101918974194
56,0.0,0.0,4.380884824444408,1.4082545415720493,pseudo-voigt,0.6880339737768165,0.2837732738644714
57,0.0,0.0,3.9483176969332323,1.4551029425171143,pseudo-voigt,0.7596842335890591,0.3830882512849391
58,0.0,0.0,3.8758739958400175,1.2066158758851566,pseudo-voigt,0.8172745189919361,0.2618070337486811
59,0.0,0.0,3.9723637322908703,1.288580439118877,pseudo-voigt,0.6500062846390164,0.29180632701634934
60,0.0,0.0,3.9573132759773193,1.0929845498776019,pseudo-voigt,0.7511721036669431,0.28893450949371996
61,0.0,0.0,3.5272794519370527,1.1115234029346586,pseudo-voigt,0.6771274725977925,0.24573878493222326
62,0.0,0.0,4.406232973883944,1.1733515632234874,pseudo-voigt,0.7924258563254448,0.30435939634689113
63,0.0,0.0,3.1928087607542834,1.4132425213728494,pseudo-voigt,0.9015571051750881,0.25540431386995277
64,0.0,0.0,3.971347364580621,1.261717892043609,pseudo-voigt,0.7629955746094494,0.24618216061290046
65,0.0,0.0,3.8227248260919247,1.3475806087206434,pseudo-voigt,0.7018654252497085,0.26563764252202937
66,0.0,0.0,4.515874734561959,1.1888829911663183,pseudo-voigt,0.7136726904125691,0.25509238113465454
